n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
2,2,1,cg,8,8,32,4,25,72,43,6,91,28,20,1,0,0,0
2,2,1,cg,8,8,32,4,25,73,30,5,71,22,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,118,59,9,127,39,31,1,0,0,0
2,2,1,cg,8,8,32,4,25,164,164,14,143,46,35,1,0,0,0
2,2,1,cg,8,8,32,4,25,82,31,5,85,29,19,1,0,0,0
2,2,1,cg,8,8,32,4,25,59,101,5,73,25,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,108,51,7,114,34,25,1,0,0,0
2,2,1,cg,8,8,32,4,25,71,43,5,76,21,24,1,0,0,0
2,2,1,cg,8,8,32,4,25,65,90,5,78,26,19,1,0,0,0
2,2,1,cg,8,8,32,4,25,147,68,10,162,54,34,1,0,0,0
2,2,1,cg,8,8,32,4,25,119,148,11,211,62,62,1,0,0,0
2,2,1,cg,8,8,32,4,25,72,55,5,88,29,21,1,0,0,0
2,2,1,cg,8,8,32,4,25,54,38,6,73,25,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,62,34,4,81,25,22,1,0,0,0
2,2,1,cg,8,8,32,4,25,67,36,4,77,25,19,1,0,0,0
2,2,1,cg,8,8,32,4,25,98,117,6,109,36,26,1,0,0,0
2,2,1,cg,8,8,32,4,25,93,67,7,104,34,26,1,0,0,0
2,2,1,cg,8,8,32,4,25,103,39,6,107,33,23,1,0,0,0
2,2,1,cg,8,8,32,4,25,80,36,5,74,24,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,63,97,5,71,22,15,1,0,0,0
2,2,1,cg,8,8,32,4,25,111,55,8,129,43,30,1,0,0,0
2,2,1,cg,8,8,32,4,25,80,29,4,70,20,18,1,0,0,0
2,2,1,cg,8,8,32,4,25,125,48,11,134,38,32,1,0,0,0
2,2,1,cg,8,8,32,4,25,99,37,6,107,33,30,1,0,0,0
2,2,1,cg,8,8,32,4,25,164,115,16,235,75,57,1,0,0,0
2,2,1,cg,8,8,32,4,25,82,49,7,105,37,23,1,0,0,0
2,2,1,cg,8,8,32,4,25,80,110,7,100,34,20,1,0,0,0
2,2,1,cg,8,8,32,4,25,77,46,7,99,29,26,1,0,0,0
2,2,1,cg,8,8,32,4,25,68,35,6,87,26,20,1,0,0,0
2,2,1,cg,8,8,32,4,25,74,27,4,73,20,20,1,0,0,0
2,2,1,cg,8,8,32,4,25,91,69,8,138,44,40,1,0,0,0
2,2,1,cg,8,8,32,4,25,127,131,13,177,62,38,1,0,0,0
2,2,1,cg,8,8,32,4,25,64,50,4,78,23,20,1,0,0,0
2,2,1,cg,8,8,32,4,25,56,35,4,72,25,18,1,0,0,0
2,2,1,cg,8,8,32,4,25,77,78,6,94,29,23,1,0,0,0
2,2,1,cg,8,8,32,4,25,69,39,6,94,31,22,1,0,0,0
2,2,1,cg,8,8,32,4,25,67,43,5,85,28,21,1,0,0,0
2,2,1,cg,8,8,32,4,25,72,43,7,97,30,24,1,0,0,0
2,2,1,cg,8,8,32,4,25,179,99,16,126,38,32,1,0,0,0
2,2,1,cg,8,8,32,4,25,78,32,5,88,29,21,1,0,0,0
2,2,1,cg,8,8,32,4,25,60,30,5,68,22,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,66,55,5,75,26,16,1,0,0,0
2,2,1,cg,8,8,32,4,25,74,33,4,75,24,18,1,0,0,0
2,2,1,cg,8,8,32,4,25,68,99,6,82,25,22,1,0,0,0
2,2,1,cg,8,8,32,4,25,141,60,10,197,62,43,1,0,0,0
2,2,1,cg,8,8,32,4,25,75,28,4,72,23,17,1,0,0,0
2,2,1,cg,8,8,32,4,25,61,29,4,77,27,21,1,0,0,0
2,2,1,cg,8,8,32,4,25,105,68,7,129,44,29,1,0,0,0
2,2,1,cg,8,8,32,4,25,60,51,4,70,21,18,1,0,0,0
2,2,1,cg,8,8,32,4,25,88,33,5,85,29,23,1,0,0,0
2,2,2,cg,17,17,68,4,81,130,35,8,171,38,30,1,0,0,0
2,2,2,cg,17,17,68,4,81,129,64,10,231,66,44,1,0,0,0
2,2,2,cg,17,17,68,4,81,102,45,7,147,40,32,1,0,0,0
2,2,2,cg,17,17,68,4,81,273,48,8,218,60,41,1,0,0,0
2,2,2,cg,17,17,68,4,81,93,32,6,133,39,24,1,0,0,0
2,2,2,cg,17,17,68,4,81,156,53,11,278,69,78,1,0,0,0
2,2,2,cg,17,17,68,4,81,94,44,7,172,45,36,1,0,0,0
2,2,2,cg,17,17,68,4,81,91,30,7,140,41,29,1,0,0,0
2,2,2,cg,17,17,68,4,81,83,46,5,126,33,32,1,0,0,0
2,2,2,cg,17,17,68,4,81,81,69,4,106,31,21,1,0,0,0
2,2,2,cg,17,17,68,4,81,111,85,7,169,48,33,1,0,0,0
2,2,2,cg,17,17,68,4,81,96,43,6,125,38,25,1,0,0,0
2,2,2,cg,17,17,68,4,81,103,85,6,128,36,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,139,86,11,229,58,53,1,0,0,0
2,2,2,cg,17,17,68,4,81,80,30,6,127,31,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,88,51,5,124,34,24,1,0,0,0
2,2,2,cg,17,17,68,4,81,84,26,5,126,34,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,112,56,5,128,35,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,86,71,5,159,37,37,1,0,0,0
2,2,2,cg,17,17,68,4,81,91,44,5,129,32,28,1,0,0,0
2,2,2,cg,17,17,68,4,81,153,83,16,379,106,84,1,0,0,0
2,2,2,cg,17,17,68,4,81,81,29,7,117,37,23,1,0,0,0
2,2,2,cg,17,17,68,4,81,87,28,6,133,32,29,1,0,0,0
2,2,2,cg,17,17,68,4,81,83,26,5,136,35,29,1,0,0,0
2,2,2,cg,17,17,68,4,81,88,76,6,125,36,28,1,0,0,0
2,2,2,cg,17,17,68,4,81,114,29,6,157,36,32,1,0,0,0
2,2,2,cg,17,17,68,4,81,71,44,5,111,32,20,1,0,0,0
2,2,2,cg,17,17,68,4,81,96,27,5,121,31,26,1,0,0,0
2,2,2,cg,17,17,68,4,81,85,25,5,149,41,30,1,0,0,0
2,2,2,cg,17,17,68,4,81,138,51,9,258,67,70,1,0,0,0
2,2,2,cg,17,17,68,4,81,94,3997,9,379,96,86,1,0,0,0
2,2,2,cg,17,17,68,4,81,107,109,7,171,43,37,1,0,0,0
2,2,2,cg,17,17,68,4,81,73,34,6,128,35,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,83,31,5,139,34,37,1,0,0,0
2,2,2,cg,17,17,68,4,81,84,27,5,128,34,29,1,0,0,0
2,2,2,cg,17,17,68,4,81,190,52,12,306,82,71,1,0,0,0
2,2,2,cg,17,17,68,4,81,76,37,6,113,31,25,1,0,0,0
2,2,2,cg,17,17,68,4,81,80,49,7,193,49,38,1,0,0,0
2,2,2,cg,17,17,68,4,81,115,46,7,153,41,32,1,0,0,0
2,2,2,cg,17,17,68,4,81,117,31,8,168,40,33,1,0,0,0
2,2,2,cg,17,17,68,4,81,82,30,5,135,42,31,1,0,0,0
2,2,2,cg,17,17,68,4,81,183,137,19,310,81,76,1,0,0,0
2,2,2,cg,17,17,68,4,81,80,29,6,132,36,25,1,0,0,0
2,2,2,cg,17,17,68,4,81,150,39,8,219,59,42,1,0,0,0
2,2,2,cg,17,17,68,4,81,110,41,5,133,36,26,1,0,0,0
2,2,2,cg,17,17,68,4,81,76,27,5,121,34,25,1,0,0,0
2,2,2,cg,17,17,68,4,81,80,36,5,138,42,27,1,0,0,0
2,2,2,cg,17,17,68,4,81,82,34,9,118,33,28,1,0,0,0
2,2,2,cg,17,17,68,4,81,144,43,5,137,38,34,1,0,0,0
2,2,2,cg,17,17,68,4,81,87,27,5,131,38,32,1,0,0,0
2,2,3,cg,36,36,144,4,289,150,35,11,317,54,39,1,0,0,0
2,2,3,cg,36,36,144,4,289,126,41,9,614,108,108,1,0,0,0
2,2,3,cg,36,36,144,4,289,259,61,17,540,86,71,1,0,0,0
2,2,3,cg,36,36,144,4,289,127,62,8,301,62,45,1,0,0,0
2,2,3,cg,36,36,144,4,289,122,35,8,271,49,49,1,0,0,0
2,2,3,cg,36,36,144,4,289,130,60,10,368,73,49,1,0,0,0
2,2,3,cg,36,36,144,4,289,123,47,9,610,122,96,1,0,0,0
2,2,3,cg,36,36,144,4,289,259,65,17,431,66,65,1,0,0,0
2,2,3,cg,36,36,144,4,289,122,41,9,307,53,54,1,0,0,0
2,2,3,cg,36,36,144,4,289,193,62,14,447,75,65,1,0,0,0
2,2,3,cg,36,36,144,4,289,177,80,13,544,110,67,1,0,0,0
2,2,3,cg,36,36,144,4,289,120,39,10,267,48,47,1,0,0,0
2,2,3,cg,36,36,144,4,289,200,49,13,396,60,56,1,0,0,0
2,2,3,cg,36,36,144,4,289,132,55,9,350,63,51,1,0,0,0
2,2,3,cg,36,36,144,4,289,247,62,16,503,74,78,1,0,0,0
2,2,3,cg,36,36,144,4,289,153,35,9,317,47,48,1,0,0,0
2,2,3,cg,36,36,144,4,289,234,85,17,767,134,139,1,0,0,0
2,2,3,cg,36,36,144,4,289,226,65,16,524,82,74,1,0,0,0
2,2,3,cg,36,36,144,4,289,343,91,22,808,152,144,1,0,0,0
2,2,3,cg,36,36,144,4,289,123,36,8,463,86,73,1,0,0,0
2,2,3,cg,36,36,144,4,289,145,62,11,419,77,61,1,0,0,0
2,2,3,cg,36,36,144,4,289,125,40,9,376,70,64,1,0,0,0
2,2,3,cg,36,36,144,4,289,108,35,7,323,59,49,1,0,0,0
2,2,3,cg,36,36,144,4,289,201,59,14,446,73,64,1,0,0,0
2,2,3,cg,36,36,144,4,289,154,57,11,399,76,58,1,0,0,0
2,2,3,cg,36,36,144,4,289,163,49,11,591,111,96,1,0,0,0
2,2,3,cg,36,36,144,4,289,267,95,22,682,121,88,1,0,0,0
2,2,3,cg,36,36,144,4,289,133,43,8,304,53,42,1,0,0,0
