n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
1,2,1,cg,4,4,8,2,15,175,38,13,102,47,18,1,0,0,0
1,2,1,cg,4,4,8,2,15,43,180,12,91,42,17,1,0,0,0
1,2,1,cg,4,4,8,2,15,45,7,2,24,11,4,1,0,0,0
1,2,1,cg,4,4,8,2,15,182,44,19,104,47,19,1,0,0,0
1,2,1,cg,4,4,8,2,15,41,7,2,23,12,4,1,0,0,0
1,2,1,cg,4,4,8,2,15,151,37,11,98,43,16,1,0,0,0
1,2,1,cg,4,4,8,2,15,43,52,9,94,38,18,1,0,0,0
1,2,1,cg,4,4,8,2,15,41,8,2,24,9,6,1,0,0,0
1,2,1,cg,4,4,8,2,15,44,7,2,26,12,5,1,0,0,0
1,2,1,cg,4,4,8,2,15,112,29,9,100,45,19,1,0,0,0
1,2,1,cg,4,4,8,2,15,142,54,11,90,42,13,1,0,0,0
1,2,1,cg,4,4,8,2,15,140,28,8,100,38,20,1,0,0,0
1,2,1,cg,4,4,8,2,15,143,31,9,93,39,16,1,0,0,0
1,2,1,cg,4,4,8,2,15,143,32,12,90,40,14,1,0,0,0
1,2,1,cg,4,4,8,2,15,147,33,9,94,41,19,1,0,0,0
1,2,1,cg,4,4,8,2,15,151,37,15,103,40,25,1,0,0,0
1,2,1,cg,4,4,8,2,15,42,7,2,23,10,5,1,0,0,0
1,2,1,cg,4,4,8,2,15,41,28,9,93,38,18,1,0,0,0
1,2,1,cg,4,4,8,2,15,144,30,8,105,40,24,1,0,0,0
1,2,1,cg,4,4,8,2,15,149,30,8,95,40,19,1,0,0,0
1,2,1,cg,4,4,8,2,15,146,27,9,95,41,16,1,0,0,0
1,2,1,cg,4,4,8,2,15,140,28,8,92,37,16,1,0,0,0
1,2,1,cg,4,4,8,2,15,42,33,2,22,9,4,1,0,0,0
1,2,1,cg,4,4,8,2,15,42,8,3,21,8,6,1,0,0,0
1,2,1,cg,4,4,8,2,15,144,27,8,99,42,18,1,0,0,0
1,2,1,cg,4,4,8,2,15,42,18,2,89,36,17,1,0,0,0
