n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
4,3,0,jacobi,196,196,2352,12,20,125,6006,8,1395,540,496,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,133,19969,4010,1424,513,519,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,135,2074,8,1388,526,499,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,151,43,9,1406,498,548,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,113,133,9,1383,511,525,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,137,18298,10,1439,514,568,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,126,29998,11,1421,503,495,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,175,3469,9,1909,736,645,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,103,26808,10,1420,508,517,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,136,3136,11,1417,540,500,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,121,13931,3883,1407,516,530,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,128,3495,12,1402,513,485,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,104,9811,12,1427,526,497,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,123,36,8,1372,492,513,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,291,81,24,3335,1174,1255,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,130,768,11,1391,486,542,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,138,54,13,1508,541,547,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,110,21365,12,1423,510,540,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,91,21333,12,1416,511,560,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,102,3603,8,1421,475,555,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,130,15777,4909,1419,519,526,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,131,814,16,2247,798,832,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,139,22887,13,1416,471,553,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,125,8798,10,1405,498,546,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,127,22141,4006,1394,507,503,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,151,55,15,2087,764,732,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,134,41,10,1616,600,629,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,122,3708,13,1428,522,458,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,130,20234,16,1422,513,553,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,130,11147,11,1408,487,522,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,126,3402,11,1410,497,566,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,178,52,15,1792,658,660,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,124,74,9,1435,521,533,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,281,2611,19,3176,1241,1169,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,143,601,7,1427,521,573,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,126,1444,9,1382,523,508,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,177,15823,7,1429,518,539,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,134,11819,12,1429,518,490,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,131,4684,11,1417,515,513,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,130,60,14,1376,481,519,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,242,68,21,1664,613,654,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,139,11415,11,1432,515,504,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,124,26707,13,1405,505,496,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,117,101,6,1379,494,500,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,163,2888,15,1959,720,720,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,125,42,7,1397,495,561,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,134,50,11,1381,504,515,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,138,19416,10,1421,506,500,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,134,16572,26,1424,535,545,1,0,0,0
4,3,0,jacobi,196,196,2352,12,20,133,23842,10,1393,482,581,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,150,36,7,4936,1740,1853,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,139,45,12,4995,1751,1758,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,13358,7654,151,5547,2261,1894,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,148,21256,17,5004,1829,1712,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,153,14715,11932,5176,1809,1916,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,178,27442,11,5077,1835,1816,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,164,2362,17,5112,1742,1886,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,152,12491,7893,4945,1707,1817,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,155,2389,10,5241,1755,1903,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,2240,55,12,5331,1724,2036,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,2909,49,11,5032,1769,1934,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,203,61,13,5182,1773,1875,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,162,34,13,5093,1776,1733,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,178,47,11,5242,1833,1886,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,211,47,9,4987,1721,1790,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,144,11118,11,5084,1721,1946,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,171,1726,7,5046,1720,1798,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,175,34,11,5051,1775,1814,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,152,10999,13,5113,1807,1852,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,143,40,11,5018,1675,1951,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,214,8414,12,5169,1821,1910,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,184,4460,11,5105,1612,1961,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,191,9269,10,5055,1790,1894,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,155,8218,8,5039,1803,1774,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,168,40,7,5013,1696,1794,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,160,64,12,5048,1642,1712,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,165,27804,16,5092,1667,2030,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,162,7700,13,5102,1747,1785,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,177,9414,13,5096,1731,1909,1,0,0,0
4,3,1,jacobi,747,747,8964,12,63,10537,59,15,5086,1711,1907,1,0,0,0
