n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
4,3,0,cg,4,4,48,12,20,15423,41,9,153,48,100,1,0,0,0
4,3,0,cg,4,4,48,12,20,15882,41,10,165,50,110,1,0,0,0
4,3,0,cg,4,4,48,12,20,14652,37,13,155,54,95,1,0,0,0
4,3,0,cg,4,4,48,12,20,13574,43,8,154,49,96,1,0,0,0
4,3,0,cg,4,4,48,12,20,15566,43,7,156,43,101,1,0,0,0
4,3,0,cg,4,4,48,12,20,23144,43,9,163,53,95,1,0,0,0
4,3,0,cg,4,4,48,12,20,14952,42,12,209,46,179,1,0,0,0
4,3,0,cg,4,4,48,12,20,15281,50,9,154,45,105,1,0,0,0
4,3,0,cg,4,4,48,12,20,14748,41,11,154,47,104,1,0,0,0
4,3,0,cg,4,4,48,12,20,14772,44,9,164,42,114,1,0,0,0
4,3,0,cg,4,4,48,12,20,15016,46,18,161,44,108,1,0,0,0
4,3,0,cg,4,4,48,12,20,15802,42,10,159,45,107,1,0,0,0
4,3,0,cg,4,4,48,12,20,14898,40,11,148,51,98,1,0,0,0
4,3,0,cg,4,4,48,12,20,14901,41,9,141,45,91,1,0,0,0
4,3,0,cg,4,4,48,12,20,16384,6908,9,156,47,105,1,0,0,0
4,3,0,cg,4,4,48,12,20,16195,43,9,162,46,104,1,0,0,0
4,3,0,cg,4,4,48,12,20,15496,62,12,213,74,140,1,0,0,0
4,3,0,cg,4,4,48,12,20,20391,42,10,160,51,113,1,0,0,0
4,3,0,cg,4,4,48,12,20,16712,42,8,151,44,98,1,0,0,0
4,3,0,cg,4,4,48,12,20,14512,37,13,154,42,101,1,0,0,0
4,3,0,cg,4,4,48,12,20,14464,46,9,155,44,103,1,0,0,0
4,3,0,cg,4,4,48,12,20,14554,45,10,160,49,115,1,0,0,0
4,3,0,cg,4,4,48,12,20,15216,39,13,154,48,103,1,0,0,0
4,3,0,cg,4,4,48,12,20,16917,48,12,159,50,97,1,0,0,0
4,3,0,cg,4,4,48,12,20,15114,41,12,159,41,111,1,0,0,0
4,3,0,cg,4,4,48,12,20,15747,42,11,150,42,96,1,0,0,0
4,3,0,cg,4,4,48,12,20,14703,40,11,151,49,98,1,0,0,0
4,3,0,cg,4,4,48,12,20,14811,39,14,155,48,104,1,0,0,0
4,3,0,cg,4,4,48,12,20,18863,40,13,158,52,100,1,0,0,0
4,3,0,cg,4,4,48,12,20,16047,65,10,224,71,160,1,0,0,0
4,3,0,cg,4,4,48,12,20,16916,42,14,161,53,110,1,0,0,0
4,3,0,cg,4,4,48,12,20,17410,39,9,165,45,123,1,0,0,0
4,3,0,cg,4,4,48,12,20,17125,40,11,176,49,127,1,0,0,0
4,3,0,cg,4,4,48,12,20,16621,37,8,153,47,91,1,0,0,0
4,3,0,cg,4,4,48,12,20,17869,41,7,141,48,95,1,0,0,0
4,3,0,cg,4,4,48,12,20,16879,37,13,167,50,107,1,0,0,0
4,3,0,cg,4,4,48,12,20,17034,7661,14,167,55,111,1,0,0,0
4,3,0,cg,4,4,48,12,20,17034,41,12,161,56,106,1,0,0,0
4,3,0,cg,4,4,48,12,20,26627,6279,9,176,49,130,1,0,0,0
4,3,0,cg,4,4,48,12,20,16920,51,11,162,58,104,1,0,0,0
4,3,0,cg,4,4,48,12,20,18270,70,15,274,90,184,1,0,0,0
4,3,0,cg,4,4,48,12,20,17243,45,12,161,42,109,1,0,0,0
4,3,0,cg,4,4,48,12,20,19688,37,8,166,61,100,1,0,0,0
4,3,0,cg,4,4,48,12,20,17328,41,14,156,49,100,1,0,0,0
4,3,0,cg,4,4,48,12,20,18722,52,18,202,69,130,1,0,0,0
4,3,0,cg,4,4,48,12,20,17088,46,11,279,44,102,1,0,0,0
4,3,0,cg,4,4,48,12,20,17203,41,9,166,53,106,1,0,0,0
4,3,0,cg,4,4,48,12,20,20393,41,8,158,45,101,1,0,0,0
4,3,0,cg,4,4,48,12,20,17723,41,12,154,45,100,1,0,0,0
4,3,0,cg,4,4,48,12,20,16137,40,7,146,47,96,1,0,0,0
4,3,1,cg,14,14,168,12,63,18820,42,11,285,81,196,1,0,0,0
4,3,1,cg,14,14,168,12,63,21505,45,13,256,73,171,1,0,0,0
4,3,1,cg,14,14,168,12,63,21557,43,15,281,82,196,1,0,0,0
4,3,1,cg,14,14,168,12,63,15882,43,10,279,80,191,1,0,0,0
4,3,1,cg,14,14,168,12,63,16014,46,7,262,78,186,1,0,0,0
4,3,1,cg,14,14,168,12,63,15553,40,12,274,79,186,1,0,0,0
4,3,1,cg,14,14,168,12,63,29412,45,15,279,85,184,1,0,0,0
4,3,1,cg,14,14,168,12,63,15435,37,12,281,72,191,1,0,0,0
4,3,1,cg,14,14,168,12,63,14606,41,11,266,81,178,1,0,0,0
4,3,1,cg,14,14,168,12,63,15434,43,13,270,80,181,1,0,0,0
4,3,1,cg,14,14,168,12,63,16322,45,11,278,79,194,1,0,0,0
4,3,1,cg,14,14,168,12,63,14340,42,10,270,79,183,1,0,0,0
4,3,1,cg,14,14,168,12,63,13286,44,12,282,81,184,1,0,0,0
4,3,1,cg,14,14,168,12,63,15662,41,11,285,84,188,1,0,0,0
4,3,1,cg,14,14,168,12,63,15192,44,12,279,83,195,1,0,0,0
4,3,1,cg,14,14,168,12,63,16120,42,12,273,79,182,1,0,0,0
4,3,1,cg,14,14,168,12,63,15709,44,8,274,81,188,1,0,0,0
4,3,1,cg,14,14,168,12,63,14812,40,12,286,84,198,1,0,0,0
4,3,1,cg,14,14,168,12,63,14859,43,14,273,89,180,1,0,0,0
4,3,1,cg,14,14,168,12,63,15799,38,11,286,83,199,1,0,0,0
4,3,1,cg,14,14,168,12,63,15318,50,7,315,88,193,1,0,0,0
4,3,1,cg,14,14,168,12,63,15732,42,12,279,94,180,1,0,0,0
4,3,1,cg,14,14,168,12,63,14471,42,9,286,93,181,1,0,0,0
4,3,1,cg,14,14,168,12,63,15659,38,12,281,96,171,1,0,0,0
4,3,1,cg,14,14,168,12,63,15560,40,10,276,87,183,1,0,0,0
4,3,1,cg,14,14,168,12,63,15315,44,6,261,75,187,1,0,0,0
4,3,1,cg,14,14,168,12,63,19887,41,16,273,83,180,1,0,0,0
4,3,1,cg,14,14,168,12,63,14961,37,12,294,86,203,1,0,0,0
4,3,1,cg,14,14,168,12,63,15386,43,15,275,82,187,1,0,0,0
4,3,1,cg,14,14,168,12,63,14542,45,12,265,77,174,1,0,0,0
4,3,1,cg,14,14,168,12,63,18354,42,12,281,87,188,1,0,0,0
