n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
1,1,4,cg,36,36,36,1,289,196,110,42,1003,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,188,106,43,1004,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,191,108,42,981,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,190,107,42,989,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,192,106,42,991,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,191,107,41,1100,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,195,88,41,967,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,191,105,45,989,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,189,107,41,959,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,186,106,42,976,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,203,106,42,999,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,209,106,43,964,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,191,106,41,948,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,189,106,41,1002,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,187,105,42,1013,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,194,106,41,1017,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,230,107,43,979,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,197,107,42,985,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,191,106,41,935,0,0,1,0,0,0
1,1,4,cg,36,36,36,1,289,201,105,43,1127,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,468,349,174,7238,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,465,352,167,7261,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,476,373,162,7271,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,463,354,159,7091,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,427,299,140,4518,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,299,237,109,4593,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,473,354,172,6562,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,414,326,158,7225,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,444,319,136,4702,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,291,236,112,4417,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,470,354,177,5794,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,372,318,138,7102,0,0,1,0,0,0
1,1,5,cg,73,73,73,1,1089,472,354,172,6833,0,0,1,0,0,0
