n_rows,n_cols,n_refs,solver,n_iter_max,n_iter_min,n_iter_sum,n_processors,n_coords,dt_init,dt_build_S,dt_build_rhs,dt_solve,t_cp_comm,t_if_comm,glob_b0,glob_b1,glob_b2,glob_b3
1,1,6,cg,149,149,149,1,4225,422,366,161,19061,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,422,388,164,15342,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,419,360,174,16039,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,408,380,187,16231,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,412,397,160,15826,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,413,383,154,15644,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,407,384,173,15214,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,407,372,168,15221,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,411,378,155,15322,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,411,378,154,15079,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,414,382,174,14822,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,409,381,165,15827,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,408,376,154,15242,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,453,360,165,15310,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,450,361,161,15183,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,409,395,175,15180,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,412,379,176,15189,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,409,379,175,15207,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,411,381,177,15175,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,408,366,154,15168,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,414,380,170,15299,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,435,356,160,15116,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,428,388,171,15970,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,437,371,168,15075,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,407,390,154,14952,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,407,380,161,15144,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,408,380,173,14987,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,419,383,154,15391,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,452,382,157,18898,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,451,354,152,14881,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,421,391,166,15629,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,418,398,158,15499,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,409,388,174,14700,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,410,379,174,15148,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,413,382,155,15264,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,410,382,155,14944,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,406,381,174,14973,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,431,379,171,14926,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,436,385,184,15101,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,410,380,170,15278,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,418,383,159,15371,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,412,385,169,15652,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,415,382,168,15419,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,476,393,160,15327,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,460,372,155,15373,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,417,386,156,15619,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,424,380,154,16061,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,430,380,154,16664,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,423,381,154,16467,0,0,1,0,0,0
1,1,6,cg,149,149,149,1,4225,416,399,161,17503,0,0,1,0,0,0
8,8,8,cg,5230,5230,334720,64,4198401,1268629,174867,10015,67556951,15462116,16862077,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,51630,11254,4898,2084693,883152,371842,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41702,11158,4542,2055265,792312,367200,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41435,11569,5192,2057642,777360,370591,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41642,11165,4621,2057646,748442,368381,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41446,11560,4304,2063326,833743,372283,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,51447,11653,4460,2088739,835765,377824,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41824,11160,5408,2080996,846169,371050,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41473,11481,5368,2094170,841530,374348,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,61889,10900,5043,2072082,781903,368580,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41853,10666,5161,2070283,874911,370868,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,51545,12143,4907,2068044,780995,367101,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,51601,11713,3654,2088611,864916,373979,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,34961,8229,5719,2076411,826764,370135,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41412,11357,4669,2053559,786114,371632,1,0,0,0
8,8,4,cg,303,303,19392,64,16641,41464,11927,4916,2093441,813027,374838,1,0,0,0
4,4,8,cg,2580,2580,41280,16,1050625,197108,13099,8025,8333659,775034,1034177,1,0,0,0
4,4,8,cg,2580,2580,41280,16,1050625,221798,21819,4157,8329894,1026558,1027604,1,0,0,0
4,4,8,cg,2580,2580,41280,16,1050625,193753,13173,8255,8341053,1005856,997271,1,0,0,0
8,8,6,cg,1268,1268,81152,64,263169,92374,46704,8063,9435069,3498677,1922641,1,0,0,0
8,8,6,cg,1268,1268,81152,64,263169,82544,48619,8559,9426122,3360070,1911596,1,0,0,0
8,8,6,cg,1268,1268,81152,64,263169,92383,45109,9661,9399667,3466862,1921516,1,0,0,0
8,8,6,cg,1268,1268,81152,64,263169,82363,42053,12072,9384690,3426661,1911102,1,0,0,0
8,8,6,cg,1268,1268,81152,64,263169,82262,49304,7689,9437882,3596476,1906277,1,0,0,0
1,1,10,cg,2580,2580,2580,1,1050625,100122,94306,40843,70556034,0,0,1,0,0,0
1,1,10,cg,2580,2580,2580,1,1050625,96790,94230,40821,70801654,0,0,1,0,0,0
2,2,9,cg,2580,2580,10320,4,1050625,162279,26503,10876,27575058,162413,66562,1,0,0,0
2,2,9,cg,2580,2580,10320,4,1050625,160088,26104,10829,24525573,143891,76739,1,0,0,0
2,2,9,cg,2580,2580,10320,4,1050625,160563,29079,14140,25751089,129992,69871,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1687,1530,626,122788,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1659,1495,625,119435,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1576,1502,615,118949,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1599,1529,615,121111,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1617,1503,614,119381,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1603,1500,614,119301,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1589,1500,635,118497,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1606,1503,626,119523,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1654,1503,615,119291,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1662,1508,615,119594,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1625,1492,606,119510,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1571,1515,619,120702,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1617,1505,615,122169,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1560,1496,628,119175,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1651,1508,624,123019,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1561,1498,643,122779,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1607,1506,620,119986,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1627,1500,624,123450,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1722,1493,610,118932,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1615,1509,630,120731,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1629,1504,643,122740,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1562,1512,616,119222,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1567,1526,638,122189,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1574,1502,627,123069,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1625,1522,615,122557,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1583,1502,644,121510,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1561,1513,638,122649,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1564,1547,622,120129,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1561,1508,636,123779,0,0,1,0,0,0
1,1,7,cg,303,303,303,1,16641,1572,1509,614,118938,0,0,1,0,0,0
2,2,4,cg,73,73,292,4,1089,231,111,43,2316,217,219,1,0,0,0
2,2,4,cg,73,73,292,4,1089,244,53,16,2582,234,222,1,0,0,0
2,2,4,cg,73,73,292,4,1089,286,61,18,2765,280,254,1,0,0,0
2,2,4,cg,73,73,292,4,1089,233,56,15,2406,219,222,1,0,0,0
2,2,4,cg,73,73,292,4,1089,340,73,22,1258,75,86,1,0,0,0
2,2,4,cg,73,73,292,4,1089,408,81,29,1330,94,89,1,0,0,0
2,2,4,cg,73,73,292,4,1089,365,70,23,1266,78,87,1,0,0,0
2,2,4,cg,73,73,292,4,1089,250,82,22,1261,145,80,1,0,0,0
2,2,4,cg,73,73,292,4,1089,315,63,25,1258,67,79,1,0,0,0
2,2,4,cg,73,73,292,4,1089,582,122,41,2452,138,149,1,0,0,0
2,2,4,cg,73,73,292,4,1089,239,53,15,2220,210,207,1,0,0,0
2,2,4,cg,73,73,292,4,1089,254,82,26,1273,137,85,1,0,0,0
2,2,4,cg,73,73,292,4,1089,276,92,29,1275,148,89,1,0,0,0
2,2,4,cg,73,73,292,4,1089,323,89,25,2880,284,270,1,0,0,0
2,2,4,cg,73,73,292,4,1089,523,197,54,2818,279,266,1,0,0,0
2,2,4,cg,73,73,292,4,1089,368,60,17,2775,259,263,1,0,0,0
2,2,4,cg,73,73,292,4,1089,408,82,27,1353,90,97,1,0,0,0
2,2,4,cg,73,73,292,4,1089,228,53,15,2419,223,224,1,0,0,0
2,2,4,cg,73,73,292,4,1089,290,179,53,2905,293,267,1,0,0,0
2,2,4,cg,73,73,292,4,1089,327,71,23,1269,86,84,1,0,0,0
2,2,4,cg,73,73,292,4,1089,408,80,27,1381,95,85,1,0,0,0
2,2,4,cg,73,73,292,4,1089,242,87,23,1257,155,81,1,0,0,0
2,2,4,cg,73,73,292,4,1089,284,92,29,1289,145,86,1,0,0,0
2,2,4,cg,73,73,292,4,1089,237,53,15,2560,238,222,1,0,0,0
2,2,4,cg,73,73,292,4,1089,476,155,43,2018,257,145,1,0,0,0
2,2,4,cg,73,73,292,4,1089,436,179,54,2906,288,268,1,0,0,0
2,2,4,cg,73,73,292,4,1089,253,67,18,2777,276,257,1,0,0,0
2,2,4,cg,73,73,292,4,1089,253,83,26,1257,145,81,1,0,0,0
2,2,4,cg,73,73,292,4,1089,421,84,27,1378,84,96,1,0,0,0
2,2,4,cg,73,73,292,4,1089,255,78,23,1239,143,84,1,0,0,0
2,2,4,cg,73,73,292,4,1089,250,87,26,1253,146,81,1,0,0,0
2,2,4,cg,73,73,292,4,1089,257,84,25,1260,161,86,1,0,0,0
2,2,4,cg,73,73,292,4,1089,255,73,17,2793,263,268,1,0,0,0
2,2,4,cg,73,73,292,4,1089,255,83,23,1283,146,84,1,0,0,0
2,2,4,cg,73,73,292,4,1089,374,116,33,1627,116,104,1,0,0,0
2,2,4,cg,73,73,292,4,1089,636,129,41,2089,139,139,1,0,0,0
2,2,4,cg,73,73,292,4,1089,252,79,25,1244,135,86,1,0,0,0
2,2,4,cg,73,73,292,4,1089,458,89,29,1904,112,132,1,0,0,0
2,2,4,cg,73,73,292,4,1089,424,88,30,1554,92,106,1,0,0,0
2,2,4,cg,73,73,292,4,1089,236,61,15,2293,208,194,1,0,0,0
2,2,4,cg,73,73,292,4,1089,384,75,27,1310,81,87,1,0,0,0
2,2,4,cg,73,73,292,4,1089,249,81,23,1279,143,86,1,0,0,0
2,2,4,cg,73,73,292,4,1089,244,86,23,1237,145,77,1,0,0,0
2,2,4,cg,73,73,292,4,1089,251,81,25,1264,162,73,1,0,0,0
2,2,4,cg,73,73,292,4,1089,324,67,24,1331,90,82,1,0,0,0
2,2,4,cg,73,73,292,4,1089,249,60,15,2726,250,240,1,0,0,0
2,2,4,cg,73,73,292,4,1089,292,104,29,1671,190,112,1,0,0,0
